ToVol,OccRate,Speed,HeavyRatio,label
10,0.41,56.5,0.0,0
15,0.55,64.7,0.0,0
22,0.91,54.6,0.0,0
15,0.79,48.8,0.0,0
16,0.76,58.7,0.0625,0
12,0.5,65.5,0.0,0
11,0.44,74.3,0.0,0
16,0.61,53.5,0.0,0
11,0.4,58.7,0.0,0
14,0.5,83.8,0.0714,0
12,0.52,59.0,0.0,0
13,0.52,57.8,0.0,0
13,0.48,64.2,0.0,0
12,0.49,60.7,0.0,0
12,0.44,80.9,0.0,0
13,0.44,60.8,0.0,0
7,0.27,71.3,0.0,0
10,0.36,65.6,0.1,0
9,0.4,58.1,0.0,0
11,0.43,58.1,0.0,0
20,6.17,86.3,0.45,0
28,3.98,87.8,0.1786,0
11,0.47,57.2,0.1818,0
9,0.32,73.9,0.0,0
14,0.67,68.8,0.0,0
15,0.67,58.7,0.0,0
15,0.62,66.7,0.0,0
13,0.58,71.8,0.0,0
14,0.65,56.7,0.0714,0
13,0.57,57.0,0.0,0
14,0.67,62.8,0.0,0
12,0.56,59.4,0.0833,0
9,0.43,58.0,0.0,0
10,0.46,58.7,0.0,0
22,1.24,52.1,0.0,0
14,0.74,53.1,0.0,0
10,0.46,48.6,0.0,0
18,0.74,63.7,0.0,0
11,0.5,57.8,0.0,0
22,1.1,53.5,0.0,0
13,0.53,60.1,0.0,0
23,1.2,65.9,0.0,0
19,0.75,69.3,0.0,0
23,1.26,47.6,0.0,0
23,0.99,52.3,0.0,0
20,0.86,66.5,0.05,0
22,1.12,56.8,0.0,0
21,0.89,53.8,0.0,0
31,1.64,56.8,0.0,0
34,1.66,64.6,0.0,0
35,1.44,66.2,0.0,0
60,2.58,61.0,0.0167,0
60,3.12,61.1,0.0167,0
54,2.57,53.8,0.0,0
42,1.85,59.8,0.0238,0
56,2.32,63.3,0.0,0
52,2.59,58.6,0.0,0
56,2.31,61.1,0.0,0
60,2.67,56.1,0.0,1
76,6.35,58.5,0.0,1
89,4.02,52.9,0.0,0
82,3.06,60.6,0.0122,1
90,3.5,55.4,0.0,1
100,3.71,56.4,0.01,1
104,3.6,56.9,0.0288,1
129,4.92,57.2,0.0078,1
129,4.71,55.9,0.0078,1
151,5.92,51.9,0.0132,1
146,5.41,57.6,0.0137,1
138,5.14,58.8,0.029,1
138,5.2,53.0,0.0072,1
140,5.79,48.3,0.0143,1
147,6.1,50.3,0.0068,2
176,7.92,51.0,0.017,2
204,9.34,49.2,0.0,2
255,11.97,47.3,0.0118,2
226,13.95,37.6,0.0088,2
217,10.46,43.7,0.0046,2
261,14.88,38.5,0.0038,2
295,19.49,35.8,0.0237,2
261,23.29,36.4,0.0115,2
220,24.14,34.7,0.0045,2
274,26.22,35.4,0.0073,2
301,16.95,38.6,0.0033,2
270,12.31,43.0,0.0148,2
230,11.22,42.4,0.013,2
221,9.2,45.4,0.0045,2
300,12.88,44.5,0.0067,2
256,10.98,45.3,0.0117,2
201,8.71,44.1,0.01,2
209,8.62,45.8,0.0144,2
212,42.27,34.8,0.0189,2
224,22.18,41.7,0.0268,2
