date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2020-05-21,"15,762","16,312","15,503","15,503","15,069.00","13,745.50","13,289.68","13,890.59","1,362,616"
2020-05-22,"15,632","15,956","15,017","15,244","15,243.80","13,855.55","13,278.90","13,909.48","755,227"
2020-05-25,"15,471","16,959","15,373","16,733","15,587.00","14,044.90","13,285.92","13,938.88","2,470,643"
2020-05-26,"17,218","17,930","16,830","17,186","16,020.80","14,247.20","13,303.72","13,974.21","1,903,031"
2020-05-27,"17,089","17,574","16,700","16,895","16,312.20","14,449.50","13,328.00","14,007.38","928,082"
2020-05-28,"17,024","17,089","15,697","16,150","16,441.60","14,606.45","13,351.73","14,036.24","1,091,405"
2020-05-29,"15,859","16,442","15,762","15,794","16,551.60","14,748.85","13,356.05","14,061.05","779,487"
2020-06-01,"16,021","17,607","15,956","17,607","16,726.40","14,975.40","13,392.20","14,103.67","2,100,350"
2020-06-02,"17,930","18,869","17,866","18,254","16,940.00","15,242.40","13,428.35","14,154.91","3,043,055"
2020-06-03,"18,578","18,642","17,639","18,124","17,185.80","15,489.95","13,462.33","14,205.07","1,300,399"
2020-06-04,"18,448","20,778","18,448","20,552","18,066.20","15,854.05","13,541.08","14,272.23","5,853,467"
2020-06-05,"20,843","21,102","19,937","20,778","19,063.00","16,211.65","13,639.25","14,334.79","1,855,423"
2020-06-08,"20,778","21,167","20,261","20,714","19,684.40","16,579.00","13,728.80","14,398.72","1,180,803"
2020-06-09,"21,264","22,494","21,102","21,296","20,292.80","16,983.55","13,839.92","14,466.95","2,937,795"
2020-06-10,"21,037","21,555","20,714","21,296","20,927.20","17,315.30","13,966.68","14,534.92","1,057,907"
2020-06-11,"22,267","22,267","21,134","21,296","21,076.00","17,663.20","14,112.32","14,600.99","1,844,127"
2020-06-12,"19,678","20,973","19,646","20,973","21,115.00","17,993.35","14,267.13","14,665.99","1,717,151"
2020-06-15,"20,714","20,778","18,675","18,675","20,707.20","18,176.25","14,373.40","14,711.31","1,793,415"
2020-06-16,"19,646","20,066","19,354","19,969","20,441.80","18,423.85","14,521.73","14,770.38","1,120,258"
2020-06-17,"19,743","21,167","19,678","20,422","20,267.00","18,673.05","14,712.13","14,832.94","1,977,436"
2020-06-18,"20,422","20,649","19,937","20,099","20,027.60","18,902.85","14,872.88","14,893.09","817,399"
2020-06-19,"20,358","20,681","20,002","20,617","19,956.40","19,171.50","15,052.52","14,958.09","764,474"
