from,to,cost
VDS0008,VDS0025,5127.47258
VDS0008,VDS0026,5560.907904
VDS0008,VDS0027,5359.235806
VDS0008,VDS0028,7293.336004
VDS0008,VDS0029,6595.365284
VDS0008,VDS0030,6418.50488
VDS0008,VDS0031,6375.28634
VDS0008,VDS0032,8194.588659
VDS0008,VDS0033,8285.077866
VDS0008,VDS0034,8061.219858
VDS0008,VDS0035,8043.493666
VDS0008,VDS0036,8570.454264
VDS0008,VDS0037,8635.489671
VDS0008,VDS0038,9908.295109
VDS0008,VDS0039,9958.195346
VDS0008,VDS0040,10466.12514
VDS0008,VDS0041,8106.65373
VDS0008,VDS0042,8155.102833
VDS0008,VDS0043,8602.997549
VDS0008,VDS0044,8632.559531
VDS0008,VDS0045,10619.69846
VDS0008,VDS0046,10422.78865
VDS0008,VDS0047,10355.46552
VDS0008,VDS0048,10202.79716
VDS0008,VDS0049,10553.03936
VDS0008,VDS0050,10590.52515
VDS0008,VDS0051,12040.45673
VDS0008,VDS0052,12150.83709
VDS0008,VDS0053,12681.74681
VDS0008,VDS0054,12673.33066
VDS0008,VDS0059,5633.196079
VDS0008,VDS0060,5518.42054
VDS0008,VDS0063,6045.667047
VDS0008,VDS0064,6041.727248
VDS0008,VDS0065,7110.172753
VDS0008,VDS0066,7142.522082
VDS0008,VDS0067,8410.179287
VDS0008,VDS0068,8722.162003
VDS0008,VDS0069,8800.072623
VDS0008,VDS0070,9582.520385
VDS0008,VDS0071,9597.089219
VDS0008,VDS0072,9586.127774
VDS0008,VDS0073,12076.85217
VDS0008,VDS0074,11879.3068
VDS0008,VDS0075,11092.23677
VDS0008,VDS0076,11134.99685
VDS0008,VDS0077,10627.455
VDS0008,VDS0078,8252.288685
VDS0008,VDS0079,9393.406278
VDS0008,VDS0080,9439.843287
VDS0008,VDS0081,9958.153277
VDS0008,VDS0082,9911.037012
VDS0008,VDS0083,11353.17598
VDS0008,VDS0084,9006.169929
VDS0008,VDS0085,8948.229005
VDS0008,VDS0086,8449.360924
VDS0008,VDS0087,6217.010336
VDS0008,VDS0088,4180.575347
VDS0008,VDS0089,4231.612504
VDS0008,VDS0090,3510.899437
VDS0008,VDS0091,3546.672095
VDS0008,VDS0092,1114.40633
VDS0008,VDS0093,2409.816479
VDS0008,VDS0094,2463.24172
VDS0008,VDS0095,5286.991796
VDS0008,VDS0096,5245.375893
VDS0008,VDS0097,4909.68398
VDS0008,VDS0098,4826.374262
VDS0008,VDS0099,5842.406103
VDS0008,VDS0100,5781.664486
VDS0008,VDS0101,6842.892241
VDS0008,VDS0102,6866.978772
VDS0008,VDS0103,6411.994294
VDS0008,VDS0104,6465.003443
VDS0008,VDS0105,7013.330627
VDS0008,VDS0107,7739.155248
VDS0008,VDS0108,7736.4386
VDS0008,VDS0109,8211.704102
VDS0008,VDS0110,8256.126881
VDS0008,VDS0112,9074.871735
VDS0008,VDS0113,9084.824974
VDS0008,VDS0116,8307.311354
VDS0008,VDS0117,8263.601245
VDS0008,VDS0118,13111.34767
VDS0009,VDS0005,10340.18107
VDS0009,VDS0006,10265.21121
VDS0009,VDS0007,5488.491533
VDS0009,VDS0008,5245.362686
VDS0009,VDS0009,0.0
VDS0009,VDS0010,94.10556024
VDS0009,VDS0011,4750.083058
VDS0009,VDS0012,4656.240667
VDS0009,VDS0013,2561.890371
VDS0009,VDS0014,2509.206785
VDS0009,VDS0015,6368.563881
VDS0009,VDS0016,6587.546476
VDS0009,VDS0017,8033.235982
VDS0009,VDS0018,7086.644876
VDS0009,VDS0019,7006.893677
VDS0009,VDS0020,6137.462231
VDS0009,VDS0021,6341.250812
VDS0009,VDS0022,8626.110098
VDS0009,VDS0023,8671.630023
VDS0009,VDS0024,8183.734382
VDS0009,VDS0025,8151.695677
VDS0009,VDS0026,7025.014614
VDS0009,VDS0027,7119.452322
VDS0009,VDS0028,6091.503878
VDS0009,VDS0029,6275.491525
VDS0009,VDS0030,6988.463115
VDS0009,VDS0031,6889.73569
VDS0009,VDS0032,7743.069752
VDS0009,VDS0033,7774.60834
VDS0009,VDS0034,9073.201453
VDS0009,VDS0035,9017.31931
VDS0009,VDS0036,8221.35266
VDS0009,VDS0037,8266.718704
VDS0009,VDS0038,8728.786083
VDS0009,VDS0039,8757.652819
VDS0009,VDS0040,8996.559214
VDS0009,VDS0041,10377.99142
VDS0009,VDS0042,10394.02126
VDS0009,VDS0043,10403.31975
VDS0009,VDS0044,10406.28362
VDS0009,VDS0045,14500.35668
VDS0009,VDS0046,14320.6523
VDS0009,VDS0047,12196.5897
VDS0009,VDS0048,11983.2494
VDS0009,VDS0049,11643.34196
VDS0009,VDS0050,11673.02263
VDS0009,VDS0051,11235.73121
VDS0009,VDS0052,11374.79944
VDS0009,VDS0053,11870.78343
VDS0009,VDS0054,11859.81295
VDS0009,VDS0059,8739.184712
VDS0009,VDS0060,8612.574566
VDS0009,VDS0063,4718.077859
VDS0009,VDS0064,4773.134685
VDS0009,VDS0065,5393.199439
VDS0009,VDS0066,5389.000909
VDS0009,VDS0067,6049.846213
VDS0009,VDS0068,7293.969741
VDS0009,VDS0069,7370.894022
VDS0009,VDS0070,7907.988187
VDS0009,VDS0071,8816.695171
VDS0009,VDS0072,8784.949827
VDS0009,VDS0073,10828.46695
VDS0009,VDS0074,10714.30373
VDS0009,VDS0075,10406.82228
VDS0009,VDS0076,10447.53619
VDS0009,VDS0077,10069.88771
VDS0009,VDS0078,8356.188444
VDS0009,VDS0079,9842.005114
VDS0009,VDS0080,9898.11284
VDS0009,VDS0081,10387.22099
VDS0009,VDS0082,10352.10024
VDS0009,VDS0083,12149.53032
VDS0009,VDS0084,10168.4348
VDS0009,VDS0085,10096.27395
VDS0009,VDS0086,9706.409317
VDS0009,VDS0087,8838.183204
VDS0009,VDS0088,7037.485027
VDS0009,VDS0089,3844.489506
VDS0009,VDS0090,1752.190184
VDS0009,VDS0091,1734.983785
VDS0009,VDS0092,4896.240177
VDS0009,VDS0093,7125.810905
VDS0009,VDS0094,7144.433025
VDS0009,VDS0095,10343.2583
VDS0009,VDS0096,10296.81546
VDS0009,VDS0097,9815.828247
VDS0009,VDS0098,9739.974005
VDS0009,VDS0099,10631.23356
VDS0009,VDS0100,10588.6826
VDS0009,VDS0101,10919.14733
VDS0009,VDS0102,10922.52483
VDS0009,VDS0103,10074.91595
VDS0009,VDS0104,10123.52532
VDS0009,VDS0105,10770.48796
VDS0009,VDS0107,10971.47756
VDS0009,VDS0108,10955.6645
VDS0009,VDS0109,11572.149
VDS0009,VDS0110,11609.19673
VDS0009,VDS0112,12128.71904
VDS0009,VDS0113,12126.20126
VDS0009,VDS0116,13279.80971
VDS0009,VDS0117,13234.43171
VDS0009,VDS0118,9899.893027
VDS0010,VDS0005,10393.35628
VDS0010,VDS0006,10318.6602
VDS0010,VDS0007,5546.323724
VDS0010,VDS0008,5302.388672
VDS0010,VDS0009,94.10556024
VDS0010,VDS0010,0.0
VDS0010,VDS0011,4833.428539
VDS0010,VDS0012,4739.153398
VDS0010,VDS0013,2655.721344
VDS0010,VDS0014,2603.268978
VDS0010,VDS0015,6459.879747
VDS0010,VDS0016,6679.654816
VDS0010,VDS0017,8121.116184
VDS0010,VDS0018,7177.443911
VDS0010,VDS0019,7098.381817
VDS0010,VDS0020,6231.418524
VDS0010,VDS0021,6435.049399
VDS0010,VDS0022,8713.954505
VDS0010,VDS0023,8759.583469
VDS0010,VDS0024,8273.91591
VDS0010,VDS0025,8242.452041
VDS0010,VDS0026,7119.080674
VDS0010,VDS0027,7213.25906
VDS0010,VDS0028,6175.799458
VDS0010,VDS0029,6365.971185
VDS0010,VDS0030,7081.610523
VDS0010,VDS0031,6982.814958
VDS0010,VDS0032,7830.152626
VDS0010,VDS0033,7861.196436
VDS0010,VDS0034,9166.216117
VDS0010,VDS0035,9110.256298
VDS0010,VDS0036,8308.464392
VDS0010,VDS0037,8353.621783
VDS0010,VDS0038,8807.47661
VDS0010,VDS0039,8836.058852
VDS0010,VDS0040,9071.347462
VDS0010,VDS0041,10471.98745
VDS0010,VDS0042,10488.04539
VDS0010,VDS0043,10497.34034
VDS0010,VDS0044,10500.28243
VDS0010,VDS0045,14589.70016
VDS0010,VDS0046,14409.81715
VDS0010,VDS0047,12290.43978
VDS0010,VDS0048,12077.04394
VDS0010,VDS0049,11735.46011
VDS0010,VDS0050,11765.10041
VDS0010,VDS0051,11315.10812
VDS0010,VDS0052,11454.32932
VDS0010,VDS0053,11949.46713
VDS0010,VDS0054,11938.4802
VDS0010,VDS0059,8830.110435
VDS0010,VDS0060,8703.444892
VDS0010,VDS0063,4805.820716
VDS0010,VDS0064,4861.163815
VDS0010,VDS0065,5474.279733
VDS0010,VDS0066,5469.655271
VDS0010,VDS0067,6119.144746
VDS0010,VDS0068,7372.701846
VDS0010,VDS0069,7449.433719
VDS0010,VDS0070,7982.237003
VDS0010,VDS0071,8899.337133
VDS0010,VDS0072,8867.443882
VDS0010,VDS0073,10903.33919
VDS0010,VDS0074,10790.30547
VDS0010,VDS0075,10488.28661
VDS0010,VDS0076,10528.93478
VDS0010,VDS0077,10152.92477
VDS0010,VDS0078,8446.031025
VDS0010,VDS0079,9932.316938
VDS0010,VDS0080,9988.431762
VDS0010,VDS0081,10477.02647
VDS0010,VDS0082,10441.99574
VDS0010,VDS0083,12240.18458
VDS0010,VDS0084,10261.37643
VDS0010,VDS0085,10189.20487
VDS0010,VDS0086,9799.766437
VDS0010,VDS0087,8931.049543
VDS0010,VDS0088,7127.583525
VDS0010,VDS0089,3938.593688
VDS0010,VDS0090,1801.403426
VDS0010,VDS0091,1780.065454
VDS0010,VDS0092,4967.517008
VDS0010,VDS0093,7199.240363
VDS0010,VDS0094,7218.434812
VDS0010,VDS0095,10413.17345
VDS0010,VDS0096,10366.85913
VDS0010,VDS0097,9889.3934
VDS0010,VDS0098,9813.310598
VDS0010,VDS0099,10707.82476
VDS0010,VDS0100,10664.89354
VDS0010,VDS0101,11005.29591
VDS0010,VDS0102,11008.86484
VDS0010,VDS0103,10163.73663
VDS0010,VDS0104,10212.41103
VDS0010,VDS0105,10859.12689
VDS0010,VDS0107,11063.2022
VDS0010,VDS0108,11047.43911
VDS0010,VDS0109,11663.54137
VDS0010,VDS0110,11700.63908
VDS0010,VDS0112,12221.5198
VDS0010,VDS0113,12219.04122
VDS0010,VDS0116,13353.51168
VDS0010,VDS0117,13308.16427
VDS0010,VDS0118,9942.357519
VDS0011,VDS0005,6530.721031
VDS0011,VDS0006,6447.903715
VDS0011,VDS0007,2292.234221
VDS0011,VDS0008,2231.614569
VDS0011,VDS0009,4750.083058
VDS0011,VDS0010,4833.428539
VDS0011,VDS0011,0.0
VDS0011,VDS0012,104.9484984
VDS0011,VDS0013,2928.153671
VDS0011,VDS0014,2855.410191
VDS0011,VDS0015,2092.005534
VDS0011,VDS0016,2409.740797
VDS0011,VDS0017,3365.15487
VDS0011,VDS0018,2660.833956
VDS0011,VDS0019,2674.737403
VDS0011,VDS0020,2692.55226
VDS0011,VDS0021,2725.956157
VDS0011,VDS0022,3949.682777
VDS0011,VDS0023,3998.790018
VDS0011,VDS0024,3644.031699
